Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,165.2969970703125,172.83999633789062,165.22000122070312,172.67999267578125,4224900,0.0,0.0
2022-01-04 00:00:00-05:00,174.1540069580078,175.89999389648438,167.1999969482422,170.8000030517578,4080000,0.0,0.0
2022-01-05 00:00:00-05:00,169.88299560546875,175.10699462890625,162.24000549316406,162.25,4804600,0.0,0.0
2022-01-06 00:00:00-05:00,160.2899932861328,163.72999572753906,156.33999633789062,159.75,5049600,0.0,0.0
2022-01-07 00:00:00-05:00,159.17999267578125,166.8800048828125,158.4550018310547,166.0500030517578,5624600,0.0,0.0
2022-01-10 00:00:00-05:00,159.75999450683594,161.6999969482422,152.10000610351562,160.7100067138672,6973600,0.0,0.0
2022-01-11 00:00:00-05:00,160.7100067138672,169.38999938964844,159.0780029296875,168.61000061035156,5331600,0.0,0.0
2022-01-12 00:00:00-05:00,170.24000549316406,171.0399932861328,165.11000061035156,169.5399932861328,3534300,0.0,0.0
2022-01-13 00:00:00-05:00,170.23300170898438,171.99000549316406,165.76499938964844,166.0,4893800,0.0,0.0
2022-01-14 00:00:00-05:00,165.75,167.6300048828125,160.24000549316406,163.99000549316406,4144000,0.0,0.0
2022-01-18 00:00:00-05:00,156.91000366210938,160.7899932861328,153.8699951171875,154.69000244140625,5775400,0.0,0.0
2022-01-19 00:00:00-05:00,157.0,160.22999572753906,154.44000244140625,154.5800018310547,5127400,0.0,0.0
2022-01-20 00:00:00-05:00,157.80799865722656,165.1999969482422,157.35000610351562,158.0,4941900,0.0,0.0
2022-01-21 00:00:00-05:00,156.81500244140625,160.1999969482422,152.41000366210938,156.72999572753906,7242300,0.0,0.0
2022-01-24 00:00:00-05:00,150.0,151.16000366210938,135.75999450683594,147.89999389648438,14606600,0.0,0.0
2022-01-25 00:00:00-05:00,143.89999389648438,147.3800048828125,140.1300048828125,144.55999755859375,5704900,0.0,0.0
2022-01-26 00:00:00-05:00,149.28500366210938,152.39999389648438,140.04100036621094,142.13999938964844,6990300,0.0,0.0
2022-01-27 00:00:00-05:00,143.47999572753906,145.54800415039062,137.9199981689453,138.41000366210938,4493800,0.0,0.0
2022-01-28 00:00:00-05:00,138.5449981689453,143.11000061035156,134.37399291992188,142.77000427246094,5604400,0.0,0.0
2022-01-31 00:00:00-05:00,144.80299377441406,153.97000122070312,143.80999755859375,153.97000122070312,5463000,0.0,0.0
2022-02-01 00:00:00-05:00,155.35000610351562,157.38999938964844,152.5,156.94000244140625,3799300,0.0,0.0
2022-02-02 00:00:00-05:00,156.31300354003906,156.50999450683594,150.71200561523438,151.75999450683594,3678300,0.0,0.0
2022-02-03 00:00:00-05:00,147.97000122070312,152.17999267578125,146.67999267578125,149.57000732421875,4577100,0.0,0.0
2022-02-04 00:00:00-05:00,150.13999938964844,157.24000549316406,150.0,155.55999755859375,4687700,0.0,0.0
2022-02-07 00:00:00-05:00,156.7899932861328,160.8800048828125,155.9499969482422,157.91000366210938,4690700,0.0,0.0
2022-02-08 00:00:00-05:00,154.0,163.07899475097656,153.44000244140625,162.25999450683594,4309100,0.0,0.0
2022-02-09 00:00:00-05:00,165.3699951171875,170.07000732421875,165.0800018310547,169.52999877929688,4868300,0.0,0.0
2022-02-10 00:00:00-05:00,165.2449951171875,177.05999755859375,165.2449951171875,171.9499969482422,8261400,0.0,0.0
2022-02-11 00:00:00-05:00,175.3090057373047,176.74000549316406,164.8300018310547,166.52999877929688,6464400,0.0,0.0
2022-02-14 00:00:00-05:00,166.6300048828125,171.8000030517578,165.02999877929688,169.66000366210938,4847600,0.0,0.0
2022-02-15 00:00:00-05:00,172.9199981689453,180.6320037841797,172.75,180.07000732421875,11733900,0.0,0.0
2022-02-16 00:00:00-05:00,178.2949981689453,191.72999572753906,178.0,186.63999938964844,22252900,0.0,0.0
2022-02-17 00:00:00-05:00,184.89999389648438,188.97999572753906,181.5399932861328,183.60000610351562,7779200,0.0,0.0
2022-02-18 00:00:00-05:00,180.25999450683594,182.66000366210938,173.6199951171875,174.89999389648438,8848800,0.0,0.0
2022-02-22 00:00:00-05:00,172.1300048828125,176.3800048828125,161.32000732421875,165.24000549316406,8392600,0.0,0.0
2022-02-23 00:00:00-05:00,165.92999267578125,166.65499877929688,149.85000610351562,150.0399932861328,9778500,0.0,0.0
2022-02-24 00:00:00-05:00,141.3000030517578,158.9600067138672,141.17999267578125,158.25999450683594,10354600,0.0,0.0
2022-02-25 00:00:00-05:00,159.25999450683594,159.4499969482422,152.91000366210938,155.08999633789062,6173200,0.0,0.0
2022-02-28 00:00:00-05:00,155.02499389648438,155.0959930419922,148.3000030517578,151.49000549316406,11078500,0.0,0.0
2022-03-01 00:00:00-05:00,150.52999877929688,154.22000122070312,149.9499969482422,151.00999450683594,5165800,0.0,0.0
2022-03-02 00:00:00-05:00,152.47999572753906,158.0800018310547,151.88999938964844,157.52999877929688,5028300,0.0,0.0
2022-03-03 00:00:00-05:00,158.3300018310547,159.22000122070312,150.99000549316406,151.69000244140625,4045800,0.0,0.0
2022-03-04 00:00:00-05:00,150.77000427246094,151.88999938964844,140.4600067138672,142.6999969482422,8390800,0.0,0.0
2022-03-07 00:00:00-05:00,145.0,145.27000427246094,131.52000427246094,131.58999633789062,9177300,0.0,0.0
2022-03-08 00:00:00-05:00,131.6300048828125,144.47000122070312,131.5,142.1300048828125,9587000,0.0,0.0
2022-03-09 00:00:00-05:00,145.42999267578125,150.99000549316406,145.3300018310547,148.30999755859375,7023900,0.0,0.0
2022-03-10 00:00:00-05:00,145.22000122070312,152.88999938964844,144.40899658203125,151.8000030517578,5302500,0.0,0.0
2022-03-11 00:00:00-05:00,154.1300048828125,155.0,145.0,145.13999938964844,4577300,0.0,0.0
2022-03-14 00:00:00-04:00,143.41000366210938,144.6699981689453,136.0399932861328,138.5,6330200,0.0,0.0
2022-03-15 00:00:00-04:00,140.0,144.72999572753906,138.32000732421875,143.9499969482422,5488700,0.0,0.0
2022-03-16 00:00:00-04:00,148.14500427246094,156.97999572753906,146.30999755859375,155.75,7105400,0.0,0.0
2022-03-17 00:00:00-04:00,153.7899932861328,157.60000610351562,151.0500030517578,157.5500030517578,5031700,0.0,0.0
2022-03-18 00:00:00-04:00,156.07000732421875,167.17999267578125,155.6999969482422,167.0,8467500,0.0,0.0
2022-03-21 00:00:00-04:00,164.57000732421875,165.9499969482422,159.0,161.8000030517578,4584400,0.0,0.0
2022-03-22 00:00:00-04:00,163.61000061035156,168.1750030517578,162.0,166.44000244140625,4099900,0.0,0.0
2022-03-23 00:00:00-04:00,163.63999938964844,166.88999938964844,162.8800048828125,164.16000366210938,2814300,0.0,0.0
2022-03-24 00:00:00-04:00,164.80999755859375,171.0,162.66799926757812,170.8300018310547,4223500,0.0,0.0
2022-03-25 00:00:00-04:00,169.94000244140625,170.61000061035156,164.13400268554688,167.22000122070312,2952300,0.0,0.0
2022-03-28 00:00:00-04:00,167.22000122070312,168.718994140625,162.42999267578125,167.64999389648438,3829800,0.0,0.0
2022-03-29 00:00:00-04:00,172.11000061035156,178.8800048828125,171.80999755859375,175.52000427246094,5452800,0.0,0.0
2022-03-30 00:00:00-04:00,173.13099670410156,176.82000732421875,172.02000427246094,173.6300048828125,3707400,0.0,0.0
2022-03-31 00:00:00-04:00,173.5399932861328,176.14999389648438,171.16400146484375,171.75999450683594,3232200,0.0,0.0
2022-04-01 00:00:00-04:00,173.05999755859375,177.94000244140625,172.22999572753906,173.07000732421875,3644900,0.0,0.0
2022-04-04 00:00:00-04:00,175.02000427246094,177.02000427246094,172.5850067138672,177.02000427246094,3495700,0.0,0.0
2022-04-05 00:00:00-04:00,177.19000244140625,179.08999633789062,170.1199951171875,171.2100067138672,4065000,0.0,0.0
2022-04-06 00:00:00-04:00,167.0500030517578,168.77000427246094,161.5800018310547,164.66000366210938,4287700,0.0,0.0
2022-04-07 00:00:00-04:00,163.19000244140625,167.86000061035156,161.7100067138672,165.91000366210938,4146600,0.0,0.0
2022-04-08 00:00:00-04:00,162.52000427246094,164.89999389648438,159.35000610351562,162.55999755859375,3448400,0.0,0.0
2022-04-11 00:00:00-04:00,159.83999633789062,163.57000732421875,157.41000366210938,160.25,3877200,0.0,0.0
2022-04-12 00:00:00-04:00,163.6999969482422,166.11000061035156,157.27999877929688,160.11000061035156,4113000,0.0,0.0
2022-04-13 00:00:00-04:00,160.83999633789062,172.9600067138672,160.64999389648438,171.85000610351562,7211900,0.0,0.0
2022-04-14 00:00:00-04:00,171.66000366210938,174.63999938964844,170.2949981689453,170.6999969482422,5125100,0.0,0.0
