,Symbol,Name,IndustryCode,Industry
0,AAPL,Apple Inc,57106020,전화 및 소형 장치
1,NVDA,NVIDIA Corp,57101010,반도체
2,MSFT,Microsoft Corp,57201020,소프트웨어
3,AMZN,Amazon.com Inc,53402010,백화점
4,META,Meta Platforms Inc,57201030,온라인 서비스
5,GOOGL,Alphabet Inc Class A,57201030,온라인 서비스
6,TSLA,Tesla Inc,53101010,자동차 및 트럭 제조
7,GOOG,Alphabet Inc Class C,57201030,온라인 서비스
8,AVGO,Broadcom Inc,57101010,반도체
9,COST,Costco Wholesale Corp,53402020,할인점
10,NFLX,Netflix Inc,57201030,온라인 서비스
11,TMUS,T-Mobile US Inc,57401020,무선 통신 서비스
12,ASML,ASML Holding NV ADR,57101020,반도체 장비 및 테스트
13,CSCO,Cisco Systems Inc,57102010,통신 및 네트워킹
14,AMD,Advanced Micro Devices Inc,57101010,반도체
15,ADBE,Adobe Inc,57201020,소프트웨어
16,PEP,PepsiCo Inc,54101030,무알콜 음료
17,LIN,Linde PLC,51101010,상품 화학
18,AZN,AstraZeneca PLC ADR,56201040,제약
19,ISRG,Intuitive Surgical Inc,56101010,첨단 의료 장비 및 기술
20,QCOM,Qualcomm Inc,57101010,반도체
21,TXN,Texas Instruments Inc,57101010,반도체
22,INTU,Intuit Inc,57301010,핀테크
23,BKNG,Booking Holdings Inc,53301040,여가 및 오락시설
24,CMCSA,Comcast Corp,57401020,무선 통신 서비스
25,PLTR,Palantir Technologies Inc,57201020,소프트웨어
26,AMAT,Applied Materials Inc,57101020,반도체 장비 및 테스트
27,AMGN,Amgen Inc,56201040,제약
28,HON,Honeywell International Inc,54401010,소비재 대기업
29,ARM,Arm Holdings PLC ADR,57101010,반도체
30,PDD,PDD Holdings Inc ADR,57201030,온라인 서비스
31,PANW,Palo Alto Networks Inc,57201020,소프트웨어
32,ADP,Automatic Data Processing Inc,57201010,IT 서비스 및 컨설팅
33,APP,Applovin Corp,57201020,소프트웨어
34,SNY,Sanofi SA ADR,56201040,제약
35,VRTX,Vertex Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
36,GILD,Gilead Sciences Inc,56201040,제약
37,SBUX,Starbucks Corp,53301020,레스토랑 및 바
38,MU,Micron Technology Inc,57101010,반도체
39,ADI,Analog Devices Inc,57101010,반도체
40,LRCX,Lam Research Corp,57101020,반도체 장비 및 테스트
41,MELI,MercadoLibre Inc,57201030,온라인 서비스
42,INTC,Intel Corp,57101010,반도체
43,EQIX,Equinix Inc,60102040,특수 REITs
44,CTAS,Cintas Corp,52203040,경영 지원 서비스
45,KLAC,KLA Corp,57101020,반도체 장비 및 테스트
46,SNPS,Synopsys Inc,57201020,소프트웨어
47,MSTR,Microstrategy Inc,57201020,소프트웨어
48,CME,CME Group Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공"
49,MDLZ,Mondelez International Inc,54102020,식품 가공
50,CRWD,CrowdStrike Holdings Inc,57201010,IT 서비스 및 컨설팅
51,CDNS,Cadence Design Systems Inc,57201020,소프트웨어
52,ABNB,Airbnb Inc,57201030,온라인 서비스
53,PYPL,PayPal Holdings Inc,52203040,경영 지원 서비스
54,MRVL,Marvell Technology Inc,57101010,반도체
55,REGN,Regeneron Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
56,MAR,Marriott International Inc,53301010,"호텔, 모텔 및 크루즈 라인"
57,IBKR,Interactive Brokers Group Inc,55102010,투자 은행 및 중개 서비스
58,COIN,Coinbase Global Inc,57301030,블록 체인 및 암호화폐
59,CEG,Constellation Energy Corp,59101010,전력 유틸리티
60,DASH,DoorDash Inc,57201030,온라인 서비스
61,FTNT,Fortinet Inc,57201020,소프트웨어
62,ORLY,O'Reilly Automotive Inc,53403010,"자동차 차량, 부품 및 서비스 소매"
63,TEAM,Atlassian Corp,57201020,소프트웨어
64,CSX,CSX Corp,52405030,지상 화물 및 물류
65,TTD,Trade Desk Inc,57201010,IT 서비스 및 컨설팅
66,WDAY,Workday Inc,57201020,소프트웨어
67,ADSK,Autodesk Inc,57201020,소프트웨어
68,PCAR,Paccar Inc,52102020,중장비 및 차량
69,ROP,Roper Technologies Inc,57201020,소프트웨어
70,CPRT,Copart Inc,57201030,온라인 서비스
71,NXPI,NXP Semiconductors NV,57101010,반도체
72,NTES,NetEase Inc ADR,57201030,온라인 서비스
73,CHTR,Charter Communications Inc,57401010,통합 통신 서비스
74,JD,JD.Com Inc ADR,53402010,백화점
75,MNST,Monster Beverage Corp,54101030,무알콜 음료
76,DDOG,Datadog Inc,57201020,소프트웨어
77,PAYX,Paychex Inc,52203030,고용 서비스
78,AEP,American Electric Power Company Inc,59101010,전력 유틸리티
79,FANG,Diamondback Energy Inc,50102020,"오일, 가스 탐사 및 생산"
80,AXON,Axon Enterprise Inc,52101010,항공우주 및 방위
81,ROST,Ross Stores Inc,53403040,의류 및 액세서리 소매
82,FAST,Fastenal Co,52102010,산업용 기계 및 장비
83,ODFL,Old Dominion Freight Line Inc,52405030,지상 화물 및 물류
84,NDAQ,Nasdaq Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공"
85,TCOM,Trip.com Group Ltd ADR,53301040,여가 및 오락시설
86,EA,Electronic Arts Inc,57201020,소프트웨어
87,KDP,Keurig Dr Pepper Inc,54101030,무알콜 음료
88,BKR,Baker Hughes Co,50103020,오일 관련 서비스 및 장비
89,TFINP,Triumph Financial 40 Dep Shs Repstg 1 Perp Non Cum 7 125  Pref Shs Series C,55101010,은행
90,LULU,Lululemon Athletica Inc,53202020,의류 및 액세서리
91,VRSK,Verisk Analytics Inc,57201010,IT 서비스 및 컨설팅
92,XEL,Xcel Energy Inc,59101010,전력 유틸리티
93,CTSH,Cognizant Technology Solutions Corp,57201010,IT 서비스 및 컨설팅
94,EXC,Exelon Corp,59101010,전력 유틸리티
95,KHC,Kraft Heinz Co,54102020,식품 가공
96,GEHC,GE Healthcare Technologies Inc,56101010,첨단 의료 장비 및 기술
97,ACGL,Arch Capital Group Ltd,55301020,손해보험
98,ARGX,argenx SE ADR,56202010,생명 공학 및 의학 연구
99,CCEP,Coca-Cola Europacific Partners PLC,54101030,무알콜 음료
100,IDXX,IDEXX Laboratories Inc,56101020,"의료 장비, 물품 및 유통"
101,MCHP,Microchip Technology Inc,57101010,반도체
102,HOOD,Robinhood Markets Inc,57301010,핀테크
103,WTW,Willis Towers Watson PLC,55301010,복합보험 및 중개인
104,TTWO,Take-Two Interactive Software Inc,57201020,소프트웨어
105,CSGP,CoStar Group Inc,57201030,온라인 서비스
106,ALNY,Alnylam Pharmaceuticals Inc,56201040,제약
107,DXCM,Dexcom Inc,56101020,"의료 장비, 물품 및 유통"
108,FITB,Fifth Third Bancorp,55101010,은행
109,UAL,United Airlines Holdings Inc,52406010,항공사
110,FER,Ferrovial SE,52201020,건설 및 엔지니어링
111,ANSS,ANSYS Inc,57201020,소프트웨어
112,ZS,Zscaler Inc,57201020,소프트웨어
113,TSCO,Tractor Supply Co,53403090,기타 전문 소매
114,BIDU,Baidu Inc ADR,57201030,온라인 서비스
115,EBAY,eBay Inc,57201030,온라인 서비스
116,ON,ON Semiconductor Corp,57101010,반도체
117,FCNCA,First Citizens BancShares Inc (Delaware),55101010,은행
118,TW,Tradeweb Markets Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공"
119,MPWR,Monolithic Power Systems Inc,57101010,반도체
120,BNTX,Biontech SE ADR,56202010,생명 공학 및 의학 연구
121,TROW,T Rowe Price Group Inc,55102020,투자 관리 및 펀드 운영
122,WBD,Warner Bros Discovery Inc,53302020,방송
123,HBAN,Huntington Bancshares Inc,55101010,은행
124,NTAP,NetApp Inc,57106010,컴퓨터 하드웨어
125,ZM,Zoom Communications Inc,57201020,소프트웨어
126,ERIC,Telefonaktiebolaget LM Ericsson ADR,57102010,통신 및 네트워킹
127,TPG,TPG Inc,55102020,투자 관리 및 펀드 운영
128,WDC,Western Digital Corp,57106010,컴퓨터 하드웨어
129,GFS,GlobalFoundries Inc,57101020,반도체 장비 및 테스트
130,CINF,Cincinnati Financial Corp,55301020,손해보험
131,LPLA,LPL Financial Holdings Inc,55102010,투자 은행 및 중개 서비스
132,RYAAY,Ryanair Holdings PLC ADR,52406010,항공사
133,LI,Li Auto Inc ADR,53101010,자동차 및 트럭 제조
134,PTC,PTC Inc,57201020,소프트웨어
135,SBAC,SBA Communications Corp,60102040,특수 REITs
136,CDW,CDW Corp,57107010,통합 하드웨어 및 소프트웨어
137,MDB,MongoDB Inc,57201020,소프트웨어
138,EXPE,Expedia Group Inc,53301040,여가 및 오락시설
139,SMCI,Super Micro Computer Inc,57106010,컴퓨터 하드웨어
140,BIIB,Biogen Inc,56201040,제약
141,VOD,Vodafone Group PLC ADR,57401020,무선 통신 서비스
142,ERIE,Erie Indemnity Co,55301020,손해보험
143,EXE,Expand Energy Corp,50102020,"오일, 가스 탐사 및 생산"
144,NTRA,Natera Inc,56102010,의료 시설 및 서비스
145,ILMN,Illumina Inc,56101010,첨단 의료 장비 및 기술
146,AFRM,Affirm Holdings Inc,57301010,핀테크
147,FSLR,First Solar Inc,50201010,재생 가능 에너지 장비 및 서비스
148,STLD,Steel Dynamics Inc,51201020,철 및 강철
149,NTRS,Northern Trust Corp,55102020,투자 관리 및 펀드 운영
150,DKNG,Draftkings Inc,53301030,카지노 및 도박
151,GRAB,Grab Holdings Ltd,57201020,소프트웨어
152,ZBRA,Zebra Technologies Corp,57104010,전자 장비 및 부품
153,STX,Seagate Technology Holdings PLC,57106010,컴퓨터 하드웨어
154,CHKP,Check Point Software Technologies Ltd,57201020,소프트웨어
155,COO,Cooper Companies Inc,56101020,"의료 장비, 물품 및 유통"
156,BGNE,Beigene Ltd ADR,56202010,생명 공학 및 의학 연구
157,KSPI,Kaspi.kz AO ADR,57301010,핀테크
158,FWONK,Liberty Media Formula One Ord Shs Series C,53302020,방송
159,PFG,Principal Financial Group Inc,55102020,투자 관리 및 펀드 운영
160,GEN,Gen Digital Inc,57201020,소프트웨어
161,SSNC,SS&C Technologies Holdings Inc,57201010,IT 서비스 및 컨설팅
162,PODD,Insulet Corp,56101020,"의료 장비, 물품 및 유통"
163,JBHT,J B Hunt Transport Services Inc,52405030,지상 화물 및 물류
164,TER,Teradyne Inc,57101020,반도체 장비 및 테스트
165,CG,Carlyle Group Inc,55102020,투자 관리 및 펀드 운영
166,ULTA,Ulta Beauty Inc,53403090,기타 전문 소매
167,MANH,Manhattan Associates Inc,57201010,IT 서비스 및 컨설팅
168,VRSN,VeriSign  Inc,57201010,IT 서비스 및 컨설팅
169,TRMB,Trimble Inc,57201020,소프트웨어
170,NTNX,Nutanix Inc,57201010,IT 서비스 및 컨설팅
171,ICLR,ICON PLC,56202010,생명 공학 및 의학 연구
172,HOLX,Hologic Inc,56101010,첨단 의료 장비 및 기술
173,ALGN,Align Technology Inc,56101020,"의료 장비, 물품 및 유통"
174,SOFI,SoFi Technologies Inc,55101030,소비자 대출
175,WMG,Warner Music Group Corp,53302030,엔터테인먼트 제작
176,FTAI,FTAI Aviation Ltd,55101050,기업 금융 서비스
177,UTHR,United Therapeutics Corp,56202010,생명 공학 및 의학 연구
178,MRNA,Moderna Inc,56202010,생명 공학 및 의학 연구
179,ENTG,Entegris Inc,57101020,반도체 장비 및 테스트
180,ALAB,Astera Labs Inc,57101010,반도체
181,DOCU,DocuSign Inc,57201020,소프트웨어
182,DUOL,Duolingo Inc,57201030,온라인 서비스
183,LNT,Alliant Energy Corp,59101010,전력 유틸리티
184,AZPN,Aspen Technology Inc,57201020,소프트웨어
185,DLTR,Dollar Tree Inc,53402020,할인점
186,RPRX,Royalty Pharma PLC,56201040,제약
187,VTRS,Viatris Inc,56201040,제약
188,CASY,Caseys General Stores Inc,54301020,식품 소매 및 유통
189,SFM,Sprouts Farmers Market Inc,54301020,식품 소매 및 유통
190,MORN,Morningstar Inc,52203070,전문 정보 서비스
191,FLEX,Flex Ltd,57104010,전자 장비 및 부품
192,BSY,Bentley Systems Inc,57201020,소프트웨어
193,SYM,Symbotic Inc,52102010,산업용 기계 및 장비
194,EWBC,East West Bancorp Inc,55101010,은행
195,NDSN,Nordson Corp,52102010,산업용 기계 및 장비
196,FFIV,F5 Inc,57201010,IT 서비스 및 컨설팅
197,AKAM,Akamai Technologies Inc,57201010,IT 서비스 및 컨설팅
198,SAIA,Saia Inc,52405030,지상 화물 및 물류
199,EVRG,Evergy Inc,59101010,전력 유틸리티
200,Z,Zillow Group Inc Class C,60101020,부동산 서비스
201,ARCC,Ares Capital Corp,55501030,폐쇄형 펀드
202,POOL,Pool Corp,53205020,오락용 제품
203,LINE,Lineage Inc,60102040,특수 REITs
204,MBLY,Mobileye Global Inc,57107010,통합 하드웨어 및 소프트웨어
205,MNDY,Monday.Com Ltd,57201020,소프트웨어
206,GLPI,Gaming and Leisure Properties Inc,60102040,특수 REITs
207,SWKS,Skyworks Solutions Inc,57101010,반도체
208,CYBR,Cyberark Software Ltd,57201020,소프트웨어
209,OKTA,Okta Inc,57201010,IT 서비스 및 컨설팅
210,INCY,Incyte Corp,56201040,제약
211,LOGI,Logitech International SA,57106010,컴퓨터 하드웨어
212,GMAB,Genmab A/S ADR,56202010,생명 공학 및 의학 연구
213,REG,Regency Centers Corp,60102020,상업용 REITs
214,CPB,Campbell's Co,54102020,식품 가공
215,LAMR,Lamar Advertising Co,60102040,특수 REITs
216,SMMT,Summit Therapeutics Inc,56202010,생명 공학 및 의학 연구
217,TXRH,Texas Roadhouse Inc,53301020,레스토랑 및 바
218,PAA,Plains All American Pipeline Units,50103030,오일 및 가스 수송 서비스
219,INSM,Insmed Inc,56202010,생명 공학 및 의학 연구
220,HST,Host Hotels & Resorts Inc,60102040,특수 REITs
221,JKHY,Jack Henry & Associates Inc,57201010,IT 서비스 및 컨설팅
222,MMYT,MakeMyTrip Ltd,53301040,여가 및 오락시설
223,CHRW,CH Robinson Worldwide Inc,52405030,지상 화물 및 물류
224,NBIX,Neurocrine Biosciences Inc,56202010,생명 공학 및 의학 연구
225,FUTU,Futu Holdings Ltd ADR,57301010,핀테크
226,PPC,Pilgrims Pride Corp,54102020,식품 가공
227,RIVN,Rivian Automotive Inc,53101010,자동차 및 트럭 제조
228,LECO,Lincoln Electric Holdings Inc,52102010,산업용 기계 및 장비
229,WIX,Wix.Com Ltd,57201030,온라인 서비스
230,BMRN,BioMarin Pharmaceutical Inc,56201040,제약
231,SRPT,Sarepta Therapeutics Inc,56202010,생명 공학 및 의학 연구
232,TECH,Bio-Techne Corp,56202010,생명 공학 및 의학 연구
233,NICE,Nice Ltd ADR,57201020,소프트웨어
234,PCTY,Paylocity Holding Corp,57201020,소프트웨어
235,RKLB,Rocket Lab USA Inc,52101010,항공우주 및 방위
236,COKE,Coca-Cola Consolidated Inc,54101030,무알콜 음료
