Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,515.0,519.5399780273438,476.2510070800781,487.55999755859375,1913400,0.0,0.0
2022-01-04 00:00:00-05:00,488.77099609375,488.77099609375,445.8699951171875,465.3699951171875,1479300,0.0,0.0
2022-01-05 00:00:00-05:00,449.1499938964844,453.9700012207031,426.5400085449219,428.7699890136719,1661700,0.0,0.0
2022-01-06 00:00:00-05:00,422.07000732421875,440.14801025390625,413.0,429.67999267578125,1912000,0.0,0.0
2022-01-07 00:00:00-05:00,425.0,443.239990234375,419.9100036621094,429.6300048828125,1139300,0.0,0.0
2022-01-10 00:00:00-05:00,414.0950012207031,435.5899963378906,393.95001220703125,435.0,1711400,0.0,0.0
2022-01-11 00:00:00-05:00,426.8999938964844,449.0,426.8999938964844,443.7900085449219,1112000,0.0,0.0
2022-01-12 00:00:00-05:00,449.0,450.06500244140625,430.45001220703125,432.489990234375,945700,0.0,0.0
2022-01-13 00:00:00-05:00,432.0899963378906,432.0899963378906,389.4599914550781,390.8299865722656,1849200,0.0,0.0
2022-01-14 00:00:00-05:00,387.093994140625,398.94000244140625,374.7699890136719,396.8900146484375,1719700,0.0,0.0
2022-01-18 00:00:00-05:00,386.2699890136719,407.260009765625,377.7699890136719,387.2699890136719,993800,0.0,0.0
2022-01-19 00:00:00-05:00,390.5799865722656,402.7200012207031,384.5899963378906,384.5899963378906,770600,0.0,0.0
2022-01-20 00:00:00-05:00,392.0,412.0,387.3599853515625,389.1199951171875,1193600,0.0,0.0
2022-01-21 00:00:00-05:00,385.3699951171875,399.7799987792969,372.0,375.57000732421875,1121400,0.0,0.0
2022-01-24 00:00:00-05:00,363.739990234375,387.80999755859375,345.25,386.45001220703125,1944100,0.0,0.0
2022-01-25 00:00:00-05:00,379.3299865722656,383.9150085449219,359.510009765625,365.4800109863281,1251400,0.0,0.0
2022-01-26 00:00:00-05:00,376.6099853515625,393.8399963378906,345.3500061035156,351.57000732421875,1900200,0.0,0.0
2022-01-27 00:00:00-05:00,361.19000244140625,369.9200134277344,349.5799865722656,351.510009765625,1529500,0.0,0.0
2022-01-28 00:00:00-05:00,355.1600036621094,373.6600036621094,340.25,373.04998779296875,1263800,0.0,0.0
2022-01-31 00:00:00-05:00,378.5799865722656,406.3389892578125,376.489990234375,405.1099853515625,1189500,0.0,0.0
2022-02-01 00:00:00-05:00,406.70001220703125,412.94000244140625,389.5899963378906,411.1499938964844,763000,0.0,0.0
2022-02-02 00:00:00-05:00,414.0,415.04998779296875,392.9100036621094,397.9100036621094,699300,0.0,0.0
2022-02-03 00:00:00-05:00,385.20001220703125,393.7799987792969,376.0199890136719,381.8500061035156,1043600,0.0,0.0
2022-02-04 00:00:00-05:00,381.7699890136719,409.7200012207031,376.010009765625,403.5400085449219,1007000,0.0,0.0
2022-02-07 00:00:00-05:00,405.9200134277344,427.989990234375,405.9200134277344,407.8299865722656,875800,0.0,0.0
2022-02-08 00:00:00-05:00,402.3500061035156,421.5899963378906,400.9949951171875,419.42999267578125,846700,0.0,0.0
2022-02-09 00:00:00-05:00,432.3599853515625,443.30999755859375,425.8800048828125,441.6700134277344,1159100,0.0,0.0
2022-02-10 00:00:00-05:00,428.6600036621094,464.7300109863281,427.0,450.6000061035156,1718400,0.0,0.0
2022-02-11 00:00:00-05:00,450.7200012207031,460.0,421.69000244140625,427.1700134277344,1172500,0.0,0.0
2022-02-14 00:00:00-05:00,427.9200134277344,443.8699951171875,425.260009765625,429.92999267578125,644200,0.0,0.0
2022-02-15 00:00:00-05:00,441.76800537109375,449.67999267578125,433.05999755859375,445.8299865722656,820900,0.0,0.0
2022-02-16 00:00:00-05:00,442.3399963378906,442.3399963378906,425.7300109863281,436.1300048828125,775300,0.0,0.0
2022-02-17 00:00:00-05:00,432.8900146484375,432.9599914550781,407.489990234375,409.55999755859375,966500,0.0,0.0
2022-02-18 00:00:00-05:00,413.7099914550781,414.9100036621094,389.3599853515625,390.17999267578125,823500,0.0,0.0
2022-02-22 00:00:00-05:00,386.9700012207031,397.20001220703125,379.07501220703125,382.42999267578125,957300,0.0,0.0
2022-02-23 00:00:00-05:00,386.010009765625,389.1700134277344,352.3999938964844,354.80999755859375,1300500,0.0,0.0
2022-02-24 00:00:00-05:00,336.1499938964844,378.489990234375,331.79998779296875,375.3599853515625,1229700,0.0,0.0
2022-02-25 00:00:00-05:00,374.3599853515625,377.7900085449219,361.05999755859375,375.94000244140625,781800,0.0,0.0
2022-02-28 00:00:00-05:00,376.32000732421875,388.7799987792969,373.010009765625,381.989990234375,765400,0.0,0.0
2022-03-01 00:00:00-05:00,382.8699951171875,395.8450012207031,378.6600036621094,381.80999755859375,726200,0.0,0.0
2022-03-02 00:00:00-05:00,382.8399963378906,387.7099914550781,366.0,381.6700134277344,804700,0.0,0.0
2022-03-03 00:00:00-05:00,359.3999938964844,364.9599914550781,322.2300109863281,327.2300109863281,3140000,0.0,0.0
2022-03-04 00:00:00-05:00,327.05999755859375,332.42999267578125,303.375,306.1099853515625,2074100,0.0,0.0
2022-03-07 00:00:00-05:00,309.5,313.9700012207031,279.0,279.9800109863281,1819800,0.0,0.0
2022-03-08 00:00:00-05:00,280.0400085449219,289.6700134277344,272.5,281.739990234375,2681600,0.0,0.0
2022-03-09 00:00:00-05:00,318.3800048828125,339.7900085449219,315.0,334.0899963378906,3953500,0.0,0.0
2022-03-10 00:00:00-05:00,327.92999267578125,342.82000732421875,324.29998779296875,338.510009765625,1539500,0.0,0.0
2022-03-11 00:00:00-05:00,342.9800109863281,344.02099609375,316.0,316.489990234375,1215700,0.0,0.0
2022-03-14 00:00:00-04:00,314.79998779296875,324.0,283.1300048828125,290.1600036621094,2136100,0.0,0.0
2022-03-15 00:00:00-04:00,292.010009765625,300.760009765625,284.80999755859375,298.260009765625,1545800,0.0,0.0
2022-03-16 00:00:00-04:00,311.989990234375,344.55499267578125,311.6000061035156,343.82000732421875,2352800,0.0,0.0
2022-03-17 00:00:00-04:00,341.7099914550781,374.8599853515625,335.80999755859375,372.42999267578125,1986800,0.0,0.0
2022-03-18 00:00:00-04:00,381.4599914550781,402.1199951171875,375.010009765625,398.1000061035156,2233600,0.0,0.0
2022-03-21 00:00:00-04:00,392.3299865722656,400.19000244140625,381.0,390.5,1474600,0.0,0.0
2022-03-22 00:00:00-04:00,387.05999755859375,414.9750061035156,387.05999755859375,405.7699890136719,1229900,0.0,0.0
2022-03-23 00:00:00-04:00,398.6199951171875,418.6000061035156,394.54998779296875,404.8500061035156,820300,0.0,0.0
2022-03-24 00:00:00-04:00,408.2699890136719,421.4750061035156,396.5299987792969,420.3399963378906,1250600,0.0,0.0
2022-03-25 00:00:00-04:00,421.2699890136719,422.0150146484375,400.260009765625,406.0400085449219,699100,0.0,0.0
2022-03-28 00:00:00-04:00,407.5,421.6199951171875,403.05999755859375,420.9200134277344,896500,0.0,0.0
2022-03-29 00:00:00-04:00,428.9800109863281,440.8900146484375,423.1099853515625,435.8900146484375,832400,0.0,0.0
2022-03-30 00:00:00-04:00,429.29998779296875,443.2799987792969,423.0,430.2200012207031,1150500,0.0,0.0
2022-03-31 00:00:00-04:00,430.0,455.67999267578125,425.2099914550781,443.5899963378906,1606900,0.0,0.0
2022-04-01 00:00:00-04:00,443.05999755859375,471.9599914550781,441.54901123046875,454.45001220703125,1993200,0.0,0.0
2022-04-04 00:00:00-04:00,443.7799987792969,464.0299987792969,440.29998779296875,458.6000061035156,1343200,0.0,0.0
2022-04-05 00:00:00-04:00,455.0,457.989990234375,429.25,435.1199951171875,1183100,0.0,0.0
2022-04-06 00:00:00-04:00,423.75,425.0,400.55999755859375,421.8900146484375,1578500,0.0,0.0
2022-04-07 00:00:00-04:00,417.4200134277344,437.69000244140625,416.54998779296875,428.489990234375,1234800,0.0,0.0
2022-04-08 00:00:00-04:00,423.0899963378906,430.9849853515625,414.17999267578125,416.8800048828125,801400,0.0,0.0
2022-04-11 00:00:00-04:00,408.6099853515625,418.0199890136719,402.7799987792969,410.1000061035156,761200,0.0,0.0
2022-04-12 00:00:00-04:00,418.0,438.94000244140625,412.0799865722656,414.07000732421875,911400,0.0,0.0
2022-04-13 00:00:00-04:00,413.44000244140625,435.8999938964844,411.6600036621094,435.239990234375,844400,0.0,0.0
2022-04-14 00:00:00-04:00,432.44000244140625,436.989990234375,416.3900146484375,416.5,553000,0.0,0.0
2022-04-18 00:00:00-04:00,412.0,414.260009765625,393.9679870605469,401.1499938964844,662300,0.0,0.0
2022-04-19 00:00:00-04:00,403.0199890136719,419.07000732421875,393.1499938964844,416.0,673800,0.0,0.0
2022-04-20 00:00:00-04:00,420.57000732421875,420.95001220703125,401.42999267578125,407.010009765625,641900,0.0,0.0
2022-04-21 00:00:00-04:00,411.04998779296875,420.9599914550781,374.5400085449219,377.8699951171875,1223200,0.0,0.0
2022-04-22 00:00:00-04:00,379.489990234375,386.44000244140625,368.7539978027344,371.0400085449219,792000,0.0,0.0
2022-04-25 00:00:00-04:00,369.0400085449219,387.2900085449219,365.8699951171875,381.739990234375,943200,0.0,0.0
2022-04-26 00:00:00-04:00,380.760009765625,380.760009765625,352.6400146484375,352.75,1036000,0.0,0.0
2022-04-27 00:00:00-04:00,357.2200012207031,375.4599914550781,353.7699890136719,359.9800109863281,1053400,0.0,0.0
2022-04-28 00:00:00-04:00,370.239990234375,382.0299987792969,354.0,377.6499938964844,839400,0.0,0.0
2022-04-29 00:00:00-04:00,374.9599914550781,387.94000244140625,353.7799987792969,354.92999267578125,801700,0.0,0.0
2022-05-02 00:00:00-04:00,350.29998779296875,360.07000732421875,339.2850036621094,359.5899963378906,1006200,0.0,0.0
2022-05-03 00:00:00-04:00,354.9599914550781,366.8999938964844,334.739990234375,343.7200012207031,1281500,0.0,0.0
2022-05-04 00:00:00-04:00,349.0,361.2869873046875,323.3800048828125,360.55999755859375,1269000,0.0,0.0
2022-05-05 00:00:00-04:00,349.42999267578125,349.69000244140625,310.6300048828125,315.92999267578125,1822000,0.0,0.0
2022-05-06 00:00:00-04:00,310.94000244140625,310.94000244140625,276.510986328125,299.7099914550781,2281400,0.0,0.0
2022-05-09 00:00:00-04:00,290.6199951171875,293.1300048828125,249.00999450683594,252.72000122070312,2706800,0.0,0.0
2022-05-10 00:00:00-04:00,263.79998779296875,272.4200134277344,239.14999389648438,250.49000549316406,2582100,0.0,0.0
2022-05-11 00:00:00-04:00,245.49000549316406,270.8500061035156,240.10000610351562,242.25,2732400,0.0,0.0
2022-05-12 00:00:00-04:00,233.86000061035156,262.2099914550781,227.60000610351562,245.6300048828125,2487700,0.0,0.0
2022-05-13 00:00:00-04:00,257.67999267578125,290.80999755859375,257.0799865722656,286.0299987792969,2541400,0.0,0.0
2022-05-16 00:00:00-04:00,279.2699890136719,289.6199951171875,251.5,252.0,1876300,0.0,0.0
2022-05-17 00:00:00-04:00,260.9100036621094,267.94000244140625,234.00999450683594,247.27999877929688,2703300,0.0,0.0
2022-05-18 00:00:00-04:00,243.89999389648438,249.66000366210938,219.72999572753906,229.97000122070312,2478900,0.0,0.0
2022-05-19 00:00:00-04:00,230.52999877929688,257.0,226.94000244140625,245.3300018310547,2514200,0.0,0.0
2022-05-20 00:00:00-04:00,254.0500030517578,265.5150146484375,235.25,248.10000610351562,2223200,0.0,0.0
2022-05-23 00:00:00-04:00,248.00999450683594,253.08999633789062,236.47999572753906,244.0500030517578,1234500,0.0,0.0
2022-05-24 00:00:00-04:00,236.63999938964844,237.42999267578125,217.82000732421875,223.61000061035156,1713500,0.0,0.0
2022-05-25 00:00:00-04:00,222.10000610351562,233.2100067138672,219.0,230.7899932861328,1238800,0.0,0.0
2022-05-26 00:00:00-04:00,215.22000122070312,241.47000122070312,213.38999938964844,233.05999755859375,2406100,0.0,0.0
2022-05-27 00:00:00-04:00,241.50999450683594,252.7899932861328,239.0,250.05999755859375,1908900,0.0,0.0
2022-05-31 00:00:00-04:00,250.75,255.32000732421875,235.0,237.14999389648438,2231200,0.0,0.0
2022-06-01 00:00:00-04:00,241.80999755859375,262.17999267578125,236.24000549316406,241.80999755859375,3394300,0.0,0.0
2022-06-02 00:00:00-04:00,262.0,290.8900146484375,249.0800018310547,286.70001220703125,4986700,0.0,0.0
2022-06-03 00:00:00-04:00,281.79998779296875,287.1400146484375,266.5830078125,273.1300048828125,2349600,0.0,0.0
2022-06-06 00:00:00-04:00,278.6099853515625,286.1600036621094,266.5299987792969,274.5899963378906,1216200,0.0,0.0
2022-06-07 00:00:00-04:00,270.3500061035156,299.0,268.0,295.5899963378906,1961400,0.0,0.0
2022-06-08 00:00:00-04:00,299.0,308.25,294.6199951171875,299.010009765625,2269200,0.0,0.0
2022-06-09 00:00:00-04:00,295.5899963378906,306.42999267578125,289.30999755859375,290.3800048828125,1284600,0.0,0.0
2022-06-10 00:00:00-04:00,285.1099853515625,286.69000244140625,265.6199951171875,268.7099914550781,2013000,0.0,0.0
2022-06-13 00:00:00-04:00,254.0800018310547,260.9200134277344,237.52000427246094,239.0,2037500,0.0,0.0
2022-06-14 00:00:00-04:00,240.00999450683594,250.1999969482422,234.78900146484375,241.0,1155200,0.0,0.0
2022-06-15 00:00:00-04:00,243.00999450683594,259.44500732421875,240.8300018310547,254.32000732421875,1537700,0.0,0.0
2022-06-16 00:00:00-04:00,243.10000610351562,247.0500030517578,231.33999633789062,235.00999450683594,1270300,0.0,0.0
2022-06-17 00:00:00-04:00,237.63999938964844,252.16000366210938,235.9600067138672,249.75,1789600,0.0,0.0
2022-06-21 00:00:00-04:00,255.1699981689453,276.0,255.14999389648438,269.54998779296875,1880600,0.0,0.0
2022-06-22 00:00:00-04:00,264.1700134277344,279.9100036621094,262.5,267.2300109863281,1069500,0.0,0.0
2022-06-23 00:00:00-04:00,271.4200134277344,292.25,269.69000244140625,290.6099853515625,1649400,0.0,0.0
2022-06-24 00:00:00-04:00,295.0199890136719,313.66900634765625,295.0199890136719,303.0899963378906,2519600,0.0,0.0
2022-06-27 00:00:00-04:00,304.04998779296875,308.1499938964844,293.45001220703125,298.8900146484375,1008000,0.0,0.0
2022-06-28 00:00:00-04:00,296.5799865722656,301.3900146484375,273.3599853515625,278.3500061035156,1773900,0.0,0.0
2022-06-29 00:00:00-04:00,274.8800048828125,281.27398681640625,268.4700012207031,276.7699890136719,928300,0.0,0.0
2022-06-30 00:00:00-04:00,274.0,275.0299987792969,251.93499755859375,259.5,1777200,0.0,0.0
2022-07-01 00:00:00-04:00,263.7200012207031,272.2300109863281,256.54998779296875,269.010009765625,1491200,0.0,0.0
2022-07-05 00:00:00-04:00,263.0299987792969,304.82000732421875,261.2879943847656,304.42999267578125,3388000,0.0,0.0
2022-07-06 00:00:00-04:00,301.80999755859375,312.1000061035156,296.989990234375,304.29998779296875,1532000,0.0,0.0
2022-07-07 00:00:00-04:00,302.04998779296875,318.7699890136719,301.0299987792969,315.4800109863281,1854400,0.0,0.0
2022-07-08 00:00:00-04:00,306.1000061035156,323.8900146484375,302.1199951171875,314.1600036621094,1435300,0.0,0.0
2022-07-11 00:00:00-04:00,309.6199951171875,315.3599853515625,300.3599853515625,310.8599853515625,963200,0.0,0.0
2022-07-12 00:00:00-04:00,310.8599853515625,323.0199890136719,285.6600036621094,291.239990234375,1875800,0.0,0.0
2022-07-13 00:00:00-04:00,287.6300048828125,306.70001220703125,282.1000061035156,295.260009765625,1149600,0.0,0.0
2022-07-14 00:00:00-04:00,288.5899963378906,290.8299865722656,269.4800109863281,278.9100036621094,2152700,0.0,0.0
2022-07-15 00:00:00-04:00,281.0,285.9549865722656,265.760009765625,277.4700012207031,1661400,0.0,0.0
2022-07-18 00:00:00-04:00,285.5,293.5,279.6600036621094,281.1700134277344,1260500,0.0,0.0
2022-07-19 00:00:00-04:00,286.510009765625,287.4800109863281,272.5950012207031,284.32000732421875,1065100,0.0,0.0
2022-07-20 00:00:00-04:00,290.0950012207031,310.989990234375,289.0,307.57000732421875,1569100,0.0,0.0
2022-07-21 00:00:00-04:00,309.1600036621094,320.8999938964844,306.7279968261719,317.92999267578125,1337300,0.0,0.0
2022-07-22 00:00:00-04:00,318.0,323.0,299.8599853515625,301.6099853515625,1321500,0.0,0.0
2022-07-25 00:00:00-04:00,298.2099914550781,298.9800109863281,283.95001220703125,289.42999267578125,1445700,0.0,0.0
2022-07-26 00:00:00-04:00,284.8399963378906,285.9800109863281,263.3999938964844,266.70001220703125,1622300,0.0,0.0
2022-07-27 00:00:00-04:00,279.4100036621094,292.5400085449219,275.67999267578125,289.9200134277344,1431100,0.0,0.0
2022-07-28 00:00:00-04:00,289.1499938964844,297.3399963378906,281.0899963378906,297.010009765625,1159400,0.0,0.0
2022-07-29 00:00:00-04:00,304.9100036621094,313.5400085449219,300.17999267578125,312.4700012207031,1771700,0.0,0.0
2022-08-01 00:00:00-04:00,308.0299987792969,324.6600036621094,302.04998779296875,318.0199890136719,950000,0.0,0.0
2022-08-02 00:00:00-04:00,310.04998779296875,332.1499938964844,308.010009765625,323.79998779296875,964500,0.0,0.0
2022-08-03 00:00:00-04:00,325.7900085449219,340.5899963378906,324.45001220703125,339.30999755859375,1182000,0.0,0.0
2022-08-04 00:00:00-04:00,336.5199890136719,341.1400146484375,329.1099853515625,340.8800048828125,948300,0.0,0.0
2022-08-05 00:00:00-04:00,336.1099853515625,358.989990234375,330.031005859375,356.8399963378906,1342200,0.0,0.0
2022-08-08 00:00:00-04:00,360.0,378.94000244140625,359.6300048828125,363.7099914550781,1155000,0.0,0.0
2022-08-09 00:00:00-04:00,356.55999755859375,365.0,354.4620056152344,358.17999267578125,715600,0.0,0.0
2022-08-10 00:00:00-04:00,376.0,389.5,375.989990234375,380.30999755859375,1050700,0.0,0.0
2022-08-11 00:00:00-04:00,387.54998779296875,390.8399963378906,367.67999267578125,368.760009765625,846100,0.0,0.0
2022-08-12 00:00:00-04:00,372.7099914550781,379.3900146484375,365.8299865722656,379.1000061035156,751700,0.0,0.0
2022-08-15 00:00:00-04:00,375.1600036621094,383.9200134277344,370.9519958496094,375.9200134277344,629100,0.0,0.0
2022-08-16 00:00:00-04:00,375.0799865722656,375.0799865722656,363.4200134277344,374.4200134277344,1338900,0.0,0.0
2022-08-17 00:00:00-04:00,365.8999938964844,368.0,359.17999267578125,361.67999267578125,916000,0.0,0.0
2022-08-18 00:00:00-04:00,359.5899963378906,361.260009765625,352.6700134277344,353.5299987792969,845200,0.0,0.0
2022-08-19 00:00:00-04:00,343.9200134277344,344.8699951171875,333.8599853515625,337.07000732421875,1167200,0.0,0.0
2022-08-22 00:00:00-04:00,328.3999938964844,334.5,323.9700012207031,329.760009765625,816400,0.0,0.0
2022-08-23 00:00:00-04:00,333.2799987792969,338.5199890136719,326.1199951171875,326.260009765625,588600,0.0,0.0
2022-08-24 00:00:00-04:00,325.4200134277344,343.17999267578125,325.4200134277344,338.6000061035156,880700,0.0,0.0
2022-08-25 00:00:00-04:00,355.5400085449219,365.5400085449219,353.07000732421875,363.739990234375,1431200,0.0,0.0
2022-08-26 00:00:00-04:00,362.05999755859375,367.2900085449219,351.5400085449219,353.57000732421875,1199100,0.0,0.0
2022-08-29 00:00:00-04:00,345.29998779296875,354.0199890136719,326.010009765625,332.07000732421875,1938400,0.0,0.0
2022-08-30 00:00:00-04:00,336.32000732421875,341.6960144042969,321.7799987792969,330.7200012207031,1203900,0.0,0.0
2022-08-31 00:00:00-04:00,335.2200012207031,339.80999755859375,321.2099914550781,322.8599853515625,2028800,0.0,0.0
2022-09-01 00:00:00-04:00,266.94000244140625,272.0,238.47000122070312,241.11000061035156,8212000,0.0,0.0
2022-09-02 00:00:00-04:00,244.1699981689453,254.34500122070312,235.1999969482422,244.8699951171875,3322200,0.0,0.0
2022-09-06 00:00:00-04:00,241.07000732421875,249.125,236.8800048828125,238.0,1936800,0.0,0.0
2022-09-07 00:00:00-04:00,236.1699981689453,248.60000610351562,233.39999389648438,246.7100067138672,1925400,0.0,0.0
2022-09-08 00:00:00-04:00,241.39999389648438,250.24000549316406,239.77000427246094,247.50999450683594,1530000,0.0,0.0
2022-09-09 00:00:00-04:00,250.47999572753906,273.91400146484375,250.47999572753906,268.6400146484375,3026800,0.0,0.0
2022-09-12 00:00:00-04:00,269.07000732421875,278.6700134277344,266.0400085449219,278.510009765625,2044700,0.0,0.0
2022-09-13 00:00:00-04:00,260.760009765625,263.75,250.9600067138672,251.9199981689453,2382900,0.0,0.0
2022-09-14 00:00:00-04:00,251.47000122070312,252.58999633789062,243.0,247.22000122070312,2010400,0.0,0.0
2022-09-15 00:00:00-04:00,244.69000244140625,249.1300048828125,232.22000122070312,233.52000427246094,2990600,0.0,0.0
2022-09-16 00:00:00-04:00,228.4199981689453,228.6199951171875,217.5500030517578,220.5800018310547,3030500,0.0,0.0
2022-09-19 00:00:00-04:00,218.17999267578125,222.35000610351562,213.9199981689453,221.33999633789062,2096400,0.0,0.0
2022-09-20 00:00:00-04:00,216.9600067138672,221.5500030517578,213.97999572753906,217.89999389648438,1654900,0.0,0.0
2022-09-21 00:00:00-04:00,218.72000122070312,222.35000610351562,209.4499969482422,209.4600067138672,1484500,0.0,0.0
2022-09-22 00:00:00-04:00,206.77000427246094,212.0,196.8000030517578,198.1999969482422,2373900,0.0,0.0
2022-09-23 00:00:00-04:00,196.89999389648438,201.35000610351562,189.23500061035156,194.72999572753906,2891400,0.0,0.0
2022-09-26 00:00:00-04:00,194.1999969482422,200.5,188.1699981689453,189.69000244140625,1519900,0.0,0.0
2022-09-27 00:00:00-04:00,194.61000061035156,197.9499969482422,190.16000366210938,194.44000244140625,1323700,0.0,0.0
2022-09-28 00:00:00-04:00,193.9199981689453,203.67999267578125,192.16000366210938,201.30999755859375,1570900,0.0,0.0
2022-09-29 00:00:00-04:00,196.4499969482422,199.02000427246094,191.7779998779297,194.82000732421875,1265700,0.0,0.0
2022-09-30 00:00:00-04:00,196.39999389648438,210.5,194.4250030517578,198.55999755859375,2699100,0.0,0.0
2022-10-03 00:00:00-04:00,199.00999450683594,200.92999267578125,185.50999450683594,194.07000732421875,3301400,0.0,0.0
2022-10-04 00:00:00-04:00,201.41000366210938,208.99000549316406,200.42999267578125,203.30999755859375,3276300,0.0,0.0
2022-10-05 00:00:00-04:00,197.4499969482422,205.0,191.00999450683594,202.07000732421875,1613400,0.0,0.0
2022-10-06 00:00:00-04:00,202.0,206.92999267578125,195.22000122070312,199.1999969482422,1370600,0.0,0.0
2022-10-07 00:00:00-04:00,192.05999755859375,194.38999938964844,186.86000061035156,189.7899932861328,1344900,0.0,0.0
2022-10-10 00:00:00-04:00,191.1300048828125,191.88999938964844,178.8000030517578,181.97000122070312,1808800,0.0,0.0
2022-10-11 00:00:00-04:00,181.10000610351562,184.8000030517578,171.42999267578125,180.0500030517578,1763200,0.0,0.0
2022-10-12 00:00:00-04:00,180.75,182.72000122070312,172.39999389648438,181.8000030517578,1625100,0.0,0.0
2022-10-13 00:00:00-04:00,174.02000427246094,182.7100067138672,166.61000061035156,180.75999450683594,2131200,0.0,0.0
2022-10-14 00:00:00-04:00,186.13999938964844,187.5800018310547,171.27000427246094,172.0800018310547,1485400,0.0,0.0
2022-10-17 00:00:00-04:00,178.97999572753906,186.88999938964844,177.0800018310547,182.35000610351562,1352300,0.0,0.0
2022-10-18 00:00:00-04:00,195.0,196.77999877929688,185.57000732421875,189.97000122070312,1813500,0.0,0.0
2022-10-19 00:00:00-04:00,185.0500030517578,189.6199951171875,180.80999755859375,184.77000427246094,1582400,0.0,0.0
2022-10-20 00:00:00-04:00,186.0,197.97000122070312,184.0399932861328,191.0,1344200,0.0,0.0
2022-10-21 00:00:00-04:00,188.07000732421875,188.89999389648438,177.6999969482422,188.89999389648438,3136700,0.0,0.0
2022-10-24 00:00:00-04:00,188.92999267578125,189.02999877929688,176.68499755859375,181.91000366210938,2170300,0.0,0.0
